zh-CN,zh-TW,en,ja,ko,fr,de,it,es,pt,ru,th,vi,id
充能轨道,蓄能軌道,Charging Track,チャージレール,에너지 충전 궤도,Voie de chargement,Ladespur,Binario di alimentazione,Riel de carga,Trilha de Carregamento,Зарядная линия,ราง​ชาร์จ​พลังงาน,Đường Dẫn Tụ Lực,Jalur Pengisian
特许寻访凭证,特許尋訪憑證,Chartered HH Permit,特別スカウト券,특별 허가 헤드헌팅 허가증,Permis REC certifié,RK-Genehmigung: Priorisiert,Permesso CT certificata,Permiso de C.R. certificada,Permissão para CT Privilegiada,Разрешение на специальный наем,ใบอนุญาต​ HH รับรอง,Vé Chiêu Mộ Đặc Quyền,Surat Izin HH Khusus
十连特许寻访凭证,十連特許尋訪憑證,Chartered HH-10×Permit,特別10回スカウト券,특별 허가 헤드헌팅 10회 허가증,Permis REC ×10 certifié,10er-RK-Genehmigung: Priorisiert,Permesso CT-10 certificata,Permiso de C.R. certificada ×10,Permissão para CT-10× Privilegiada,Разрешение на специальный наем х10,ใบอนุญาต​ HH รับรอง​×10,Vé Chiêu Mộ Đặc Quyền ×10,Surat Izin HH-10× Khusus
工作之余的闲谈,工作之餘的閒談,Chat Log: Idle Recess Chatter,仕事の合間の雑談,근무 시간 외 잡담,Journal de discussion : conversation oisive en pause,Chat-Log: Pausengeschwätz,Registro chat: Chiacchiere durante la ricreazione,Registro de chat: Charla ociosa durante el receso,Logs de Chat: Conversa Fiada no Intervalo,Журнал чата: болтовня на перерыве,บันทึก​การ​สนทนา​: การ​สนทนา​เรื่อยเปื่อย​ใน​ช่วง​พัก,Nhật Ký Trò Chuyện: Chuyện Phiếm Lúc Nghỉ,Log Obrolan: Obrolan Santai saat Istirahat
攀山者的聊天记录,登山者的聊天紀錄,Chat Records: Hikers,登山者のチャット履歴,등산객 간의 채팅 기록,Messages archivés : randonneurs,Chat-Aufzeichnungen: Wanderer,Registri della chat: Escursionisti,Registros de chat: Excursionistas,Logs de Chat: Caminhantes,Записи из чата: туристы,บันทึก​การ​สนทนา​: นัก​เดินป่า,Nhật Ký Trò Chuyện: Người Leo Núi,Rekaman Obrolan: Pendaki
历史爱好者的聊天记录,歷史愛好者的聊天紀錄,Chat Records: History Enthusiast,歴史愛好家のチャット履歴,역사 마니아의 채팅 기록,Messages archivés : féru d'histoire,Chat-Aufzeichnungen: Geschichtsbegeisterter,Registri della chat: Amante della storia,Registros de chat: Entusiasta de la historia,Logs de Chat: Entusiasta de História,Записи из чата: историк-любитель,บันทึก​การ​สนทนา​: ผู้​หลงใหล​วิชาประวัติศาสตร์,Nhật Ký Trò Chuyện: Người Đam Mê Lịch Sử,Rekaman Obrolan: Penggemar Sejarah
炫耀者的聊天记录,炫耀者的聊天紀錄,Chat Records: Showing Off,自慢する者のチャット履歴,자랑꾼의 채팅 기록,Messages archivés : mise en valeur,Chat-Aufzeichnungen: Angeber,Registri della chat: Mettersi in mostra,Registros de chat: Presumiendo,Logs de Chat: Se Mostrando,Записи из чата: хвастовство,บันทึก​การ​สนทนา​: อวด​หน่อย,Nhật Ký Trò Chuyện: Khoe Khoang,Rekaman Obrolan: Pamer
将军,將軍,Checkmate,チェックメイト,체크메이트,Échec et mat,Schachmatt,Scacco matto,Jaque mate,Xeque-Mate,Шах и мат,รุกฆาต,Chiếu Tướng,Sekakmat
干杯！,乾杯！,Cheers ( ゜- ゜)つロ,乾杯！,건배! ( ゜- ゜)つロ,Santé ( ゜- ゜)つロ,Cheers ( ゜- ゜)つロ,Salute! ( ゜- ゜)つロ,Bravo ( ゜- ゜)つロ,Saúde ( ゜- ゜)つロ,До дна! ( ゜- ゜)つロ,ชนแก้ว​ ( ゜- ゜)つロ,Cụng ly ( ゜- ゜)つロ,Bersulang ( ゜- ゜)つロ
陈千语,陳千語,Chen Qianyu,チェン・センユー,진천우,Chen Qianyu,Chen Qianyu,Chen Qianyu,Chen Qianyu,Chen Qianyu,Чэнь Цяньюй,เฉิน​ เชียน​ยู,Chen Qianyu,Chen Qianyu
陈千语的信物,陳千語的信物,Chen Qianyu's Token,チェン・センユーの印,진천우의 증표,Jeton de Chen Qianyu,Chen Qianyus Token,Gettone di Chen Qianyu,Ficha de Chen Qianyu,Símbolo de Chen Qianyu,Жетон Чэнь Цяньюй,โท​เคน​ของ​เฉิน​ เชียน​ยู,Tín Vật của Chen Qianyu,Token Chen Qianyu
沉山道,沉山道,Chenshan Way,沈山道,침산길,Allée Chenshan,Chenshan-Weg,Via Chenshan,Camino Chenshan,Caminho de Chenshan,Дорога Чэньшань,เส้นทาง​เฉิน​ชาน,Trầm Sơn Đạo,Jalan Chenshan
掌心的宝物,掌心的寶物,Cherished Little Perl,手のひらの宝物,소중한 진주,Petite Perl chérie,Liebling Perly,Piccola perla preziosa,Querida Pequeña Perl,Perolazinha Estimada,Драгоценная жемчужинка,เ​พิ​ร์​ล​น้อย​ผู้​เป็น​ที่รัก,Bảo Vật Trong Tay,Mutiara Kecil Kesayangan
栗花蜜,栗花蜜,Chestnut Honey,栗はちみつ,밤꽃꿀,Miel de châtaignier,Kastanienhonig,Miele di castagno,Miel de Castaña,Mel de Castanheiro,Каштановый мед,น้ำผึ้ง​เกาลัด,Mật Dẻ Gai,Madu Kastanya
嵌合正义,嵌合正義,Chimeric Justice,正義嵌合,키메라의 정의,Justice chimérique,Chimärische Gerechtigkeit,Giustizia chimerica,Justicia quimérica,Justiça Quimérica,Химера правосудия,อาญา​วิปลาส,Công Lý Dị Hình,Chimeric Justice
骑士精神,騎士精神,Chivalric Virtues,騎士精神,기사도 정신,Vertus chevaleresques,Ritterliche Tugenden,Virtù cavalleresche,Virtudes caballerescas,Virtudes Cavalheirescas,Рыцарская добродетель,คุณธรรม​อัศวิน,Hào Hiệp,Chivalric Virtues
异色油脂,異色油脂,Chromatic Lipids,変わった色の油,특수 기름,Lipides chromatiques,Chromatische Lipide,Lipidi cromatici,Lípidos cromáticos,Lipídios Cromáticos,Цветные липиды,ลิ​พิด​สีฉูดฉาด,Lipid Sắc Tố,Lipid Kromatik
纯晶多齿叶,純晶多齒葉,Chrysodendra,純晶鋭葉,크리소덴드라,Chrysodendron,Chrysodendra,Crisodendri,Crisodendro,Crisodendra,Хризодендра,คริส​โซ​เดน​ดรา,Kim Cốt,Chrysodendra
纯晶多齿叶,純晶多齒葉,Chrysodendra Spot,純晶鋭葉,크리소덴드라,Chrysodendron,Chrysodendra,Crisodendro,Crisodendro,Crisodendra,Хризодендра,คริส​โซ​เดน​ดรา,Kim Cốt,Chrysodendra
纯晶多齿叶根茎,純晶多齒葉根莖,Chrysodendra Tuber,純晶鋭葉の茎,크리소덴드라 줄기,Tubercule de chrysodendron,Chrysodendra-Knolle,Tubero di crisodendro,Tubérculo de crisodendro,Tubérculo de Crisodendra,Клубень хризодендры,หัว​คริส​โซ​เดน​ดรา,Củ Kim Cốt,Umbi Chrysodendra
龙泡泡气球,龍泡泡氣球,Chubby Lung Balloon,龍泡泡の風船,드래곤 버블 풍선,Ballon Choupi Lung,Chubby-Lung-Ballon,Palloncino a forma di cicciodrago,Globo de Lung regordete,Balão de Chubby Lung,Надувной пухлик-лун,ลูกโป่ง​หลง​จ้ำม่ำ,Bóng Khí Chubby Lung,Balon Lung Gembul
龙泡泡浮空艇货组,龍泡泡浮空艇貨組,Chubby Lung Blimp [pkg],龍泡泡気球セット,드래곤 버블 비공정 상품군,Choupi Lung dirigeable [colis],Chubby-Lung-Wetterballon [Paket],Mongolfiera del cicciodrago (pacco),Dirigible de Lung regordete [paq.],Dirigível Chubby Lung [pct],Дирижабль «Пухлик-лун» [упак.],เรือ​เหาะ​หลง​จ้ำม่ำ​ [แพ็กเกจ​],Khí Cầu Chubby Lung [bộ],Balon Udara Lung Gembul [pkt]
龙泡泡石墩,龍泡泡石墩,Chubby Lung Bollard,龍泡泡の石像,드래곤 버블 돌기둥,Borne Choupi Lung,Chubby-Lung-Poller,Paletto a forma di cicciodrago,Bolardo de Lung regordete,Cabeço de Chubby Lung,Столбик с пухликом-луном,เสา​ไฟ​หลง​จ้ำม่ำ,Trụ Chắn Chubby Lung,Bolar Lung Gembul
龙泡泡蔬菜冻,龍泡泡蔬菜凍,Chubby Lung Jellied Greens,龍泡泡の野菜羊羹,드래곤 버블 채소 젤리,Verdure gélifiée de Choupi Lung,Geliertes Gemüse in Chubby-Lung-Form,Verdure cicciodrago in gelatina,Gelatina verde de Lung regordete,Gelatinas Verdes de Chubby Lung,Овощное желе «Пухлик-лун»,ผัก​เยลลี่​หลง​จ้ำม่ำ,Thạch Rau Xanh Chubby Lung,Jeli Sayur Lung Gembul
龙泡泡蔬菜冻·升级,龍泡泡蔬菜凍·升級,Chubby Lung Jellied Greens Upgrade,龍泡泡の野菜羊羹（強化）,드래곤 버블 채소 젤리 · 업그레이드,Amélioration de la verdure gélifiée de Choupi Lung,Verbesserung: Geliertes Gemüse in Chubby-Lung-Form,Potenziamento: verdure cicciodrago in gelatina,Mejora de Gelatina Verde de Lung regordete,Upgrade de Gelatinas Verdes de Chubby Lung,Улучшение овощного желе «Пухлик-лун»,อัป​เกรด​ผัก​เยลลี่​หลง​จ้ำม่ำ,Nâng Cấp Thạch Rau Xanh Chubby Lung,Upgrade untuk Jeli Sayur Lung Gembul
天师龙泡泡货组,天師龍泡泡貨組,Chubby Lung Tianshi [pkg],天師龍泡泡セット,천사 드래곤 버블 상품군,Tianshi Choupi Lung [colis],Chubby-Lung-Tianshi [Paket],Cicciodraghi Tianshi (pacco),Lung regordete de Tianshi [paq.],Tianshi Chubby Lung [pct],Пухлик-лун Тяньши [упак.],เทียน​ซือ​หลง​จ้ำม่ำ​ [แพ็ก​],Lô Thiên Sư Chubby Lung [bộ],Tianshi Lung Gembul [pkt]
龙泡泡·方兴纪念,龍泡泡·方興紀念,Chubby Lung: Fangxing Memorabilia,龍泡泡・方興記念,드래곤 버블 · 방흥 에디션,Choupi Lung : souvenir de Fangxing,Chubby Lung: Fangxing-Modell,Cicciodrago: cimelio di Fangxing,Lung regordete: Recuerdos de Fangxing,Chubby Lung: Colecionável de Fangxing,Пухлик-лун: дизайн с улицы Фансин,หลง​จ้ำม่ำ​: ของที่ระลึก​จาก​ฟาง​ซิง,Chubby Lung: Kỷ Niệm Phương Hưng,Lung Gembul: Kenang-Kenangan Fangxing
市民广场,市民廣場,Citizen Square,市民広場,시민 광장,Place citoyenne,Stadtplatz,Piazza cittadina,Plaza Ciudadana,Praça Cívica,Площадь Граждан,จัตุรัส​พลเมือง,Quảng Trường Công Dân,Alun-alun Warga
柑实,柑實,Citrome,シトローム,시트론,Citrome,Zitrome,Citrome,Citroma,Citroma,Цитром,ส้ม​ซิ​โตร​ม,Cam,Citrome
柑橘风味果酱·升级,柑橘風味果醬·升級,Citrome Jam Upgrade,柑橘ジャム（強化）,감귤 향 잼 · 업그레이드,Amélioration de confiture de citromes,Verbesserung: Zitromen-Marmelade,Potenziamento: marmellata di citromi,Mejora de mermelada de citroma,Upgrade de Geleia de Citroma,Улучшение цитромового джема,อัป​เกรด​แยม​ซิ​โตร​ม,Nâng Cấp Mứt Cam,Upgrade untuk Selai Citrome
柑橘风味果冻·升级,柑橘風味果凍·升級,Citrome Jelly Upgrade,柑橘ゼリー（強化）,감귤 향 젤리 · 업그레이드,Amélioration de gelée de citromes,Verbesserung: Zitromen-Wackelpudding,Potenziamento: gelatina di citromi,Mejora de jalea de citroma,Upgrade de Gelatina de Citroma,Улучшение цитромового желе,อัป​เกรด​เยลลี่​ซิ​โตร​ม,Nâng Cấp Thạch Cam,Upgrade untuk Jeli Citrome
柑实田块,柑實田塊,Citrome Plot,シトローム畑,시트론 논배미,Parcelle de citrome,Zitromen-Beet,Terreno per citromi,Terreno de citroma,Lote de Citroma,Участок цитрома,แปลง​ส้ม​ซิ​โตร​ม,Ô Đất Cam,Petak Citrome
柑实粉末,柑實粉末,Citrome Powder,シトローム粉末,시트론 가루,Poudre de citrome,Zitromen-Pulver,Polvere di citromi,Polvo de citroma,Pó de Citroma,Молотый цитром,ผง​ส้ม​ซิ​โตร​ม,Bột Cam,Bubuk Citrome
瓶装柑橘布丁·升级,瓶裝柑橘布丁·升級,Citrome Pudding Upgrade,瓶入り柑橘プリン（強化）,감귤 푸딩 · 업그레이드,Amélioration de pudding au citrome,Verbesserung: Zitromen-Pudding,Potenziamento: budino di citromi,Mejora de pudín de citroma,Upgrade de Pudim de Citroma,Улучшение цитромового пудинга,อัป​เกรด​พุด​ดิ้ง​ซิ​โตร​ม,Nâng Cấp Bánh Pudding Cam,Upgrade untuk Puding Citrome
柑实种子,柑實種子,Citrome Seed,シトロームの種,시트론 씨앗,Graine de citrome,Zitromen-Saat,Seme di citrome,Semilla de citroma,Semente de Citroma,Семя цитрома,เมล็ด​ส้ม​ซิ​โตร​ม,Hạt Cam,Benih Citrome
柑实冲剂,柑實沖泡劑,Citromix,黒銀シトローム粉薬,다크 시트론 가루,Citromix,Zitromen-Mix,Miscela di citromi,Citromix,Citromix,Цитромикс,ซิ​โตร​มิกซ์,Nước Ép Cam,Citromix
大瓶柑实冲剂,大瓶柑實沖泡劑,Citromix [L],黒銀シトローム粉剤Ⅱ,시트론 혼합제(대),Citromix [G],Zitromen-Mix [L],Miscela di citromi (L),Citromix [G],Citromix [G],Цитромикс [бол.],ซิ​โตร​มิกซ์​ [L],Nước Ép Cam [Lớn],Citromix [L]
精选柑实冲剂,精選柑實沖泡劑,Citromix [Rf.],黒銀シトローム粉剤Ⅲ,시트론 혼합제(특),Citromix [Rf.],Zitromen-Mix [Rf.],Miscela di citromi (raf.),Citromix [Rf.],Citromix [Rf.],Цитромикс [очищ.],ซิ​โตร​มิกซ์​ [Rf.],Nước Ép Cam [Rf.],Citromix [Rf.]
小瓶柑实冲剂,小瓶柑實沖泡劑,Citromix [S],黒銀シトローム粉剤Ⅰ,시트론 혼합제(소),Citromix [P],Zitromen-Mix [S],Miscela di citromi (S),Citromix [P],Citromix [P],Цитромикс [мал.],ซิ​โตร​มิกซ์​ [S],Nước Ép Cam [Nhỏ],Citromix [S]
同类相食,同類相食,Clannibal,同類共食,클래니벌,Clannibale,Klannibale,Clannibal,Clannibal,Clanibal,Кланнибал,แคล​นิ​บอล,Clannibal,Clannibal
阿伯莉的密档,阿伯莉的密檔,Classified: Aburrey,アブリーの機密資料,기밀 파일: 아부레이,Document classé : Aburrey,Vertraulich: Aburrey,Riservato: Aburrey,Clasificado: Aburrey,Confidencial: Aburrey,Засекречено: Эберрей,เอกสารลับ​: อ​เบอร์​เรย์,Phân Loại: Aburrey,Rahasia: Aburrey
天使铸炉的密档,天使鑄爐的密檔,Classified: Aggelos Forge,アンゲロス鋳造炉の機密資料,기밀 파일: 아겔로스 용광로,Document classé : la forge aggeloïde,Vertraulich: Aggelos-Schmiede,Riservato: Fucina degli Aggeloi,Clasificado: forja de Aggelos,Confidencial: Forja de Aggelos,Засекречено: кузница аггелов,เอกสารลับ​: แอง​เกลอ​ย​ ฟอร์​จ,Phân Loại: Lò Rèn Aggeloi,Rahasia: Tempaan Aggelos
天使腐草的密档,天使腐草的密檔,Classified: Aggelos Rotreed,アンゲロス腐草の機密資料,기밀 파일: 아겔로스 썩은 풀,Document classé : Aggelos putroseau,Vertraulich: Aggelos-Fäulniswurzel,Riservato: Putrifoglia aggeloide,Clasificado: hierba corrompida de Aggelos,Confidencial: Musgo de Aggelos,Засекречено: аггельский гнилоцвет,เอกสารลับ​: แอง​เกลอ​ย​ รอต​รีด,Phân Loại: Aggeloi Rotreed,Rahasia: Ilalang Busuk Aggelos
碾骨内乱的密档,碾骨內亂的密檔,Classified: Bonekrusher Civil War,ボーンクラッシャー内乱の機密資料,기밀 파일: 본 크러셔 내란,Document classé : guerre civile des Broyeurs d'os,Vertraulich: Bürgerkrieg der Knochenbrecher,Riservato: Guerra civile degli Spacca-Ossa,Clasificado: Guerra Civil Rompehuesos,Confidencial: Guerra Civil dos Quebra-Ossos,Засекречено: гражданская война Костоломов,เอกสารลับ​: สงครามกลางเมือง​โบน​ค​รัช​เชอร์,Phân Loại: Nội Chiến Bonekrusher,Rahasia: Perang Saudara Bonekrusher
